,school,sat_total_25th_75th_percentile,act_total_25th_75th_percentile
156,Whitman College,1240-1450,28-33
157,Sarah Lawrence College,1240-1420,27-32
158,New School,1150-1360,24-30
159,University of Pittsburgh,1260-1440,28-33
160,University of California Riverside,1130-1340,24-30
161,University of Minnesota—​Twin Cities,1260-1480,26-31
162,Hobart and William Smith Colleges,1203-1360,27-30
163,Abilene Christian University,1040-1230,21-27
164,Bennington College,1230-1390,28-32
165,Birmingham-​Southern College,1040-1250,22-28
166,Fairfield University,1210-1350,26-30
167,Georgia State,990-1190,21-26
168,Texas A&M University—​College Station,1160-1390,26-31
169,Saint Louis University,1180-1370,25-31
170,St. John's College Annapolis,1210-1450,24-33
171,Lake Forest College,1110-1310,23-29
172,Kennesaw State University,1080-1270,21-26
173,California State University--Fresno,950-1130,16-22
174,Rollins College,1160-1340,24-30
175,University of Hawaii at Manoa,1070-1270,21-26
176,University of Denver,1170-1350,26-31
177,Hampden-​Sydney College,1050-1250,21-27
178,University of Illinois—​Urbana-​Champaign,1220-1480,27-33
179,Millsaps College,1080-1260,22-28
180,California State University--Northridge,910-1130,16-22
181,Clark University,1200-1390,28-31
182,Lipscomb University,1060-1320,22-29
183,Virginia Military Institute,1090-1270,21-28
184,Purdue University—​West Lafayette,1190-1440,25-32
185,Temple University,1120-1320,24-30
186,Rutgers The State University of New Jersey—​New Brunswick,1190-1410,25-31
187,Illinois Institute of Technology,1190-1400,26-32
188,Yeshiva University,1140-1400,22-30
189,Illinois Wesleyan University,1120-1320,24-29
190,Furman University,1230-1410,28-32
191,University at Buffalo—​SUNY,1160-1340,24-29
192,Concordia College—​Moorhead,1080-1368,21-27
193,SUNY College of Environmental Science and Forestry,1120-1310,23-29
194,University of Portland,1160-1330,23-29
195,Cornell College,1100-1345,23-29
196,Muhlenberg College,1170-1360,26-30
197,Gonzaga University,1210-1358,25-30
198,Beloit College,1080-1380,24-30
199,Lawrence University,1200-1430,25-32
200,University of Utah,1142.5-1380,22-29
201,Allegheny College,1170-1360,24-30
202,University of Delaware,1170-1350,25-30
203,Westmont College,1110-1370,23-30
204,Luther College,1050-1310,23-29
205,Rutgers The State University of New Jersey—​Newark,1020-1190,19-24
206,Earlham College,1100-1370,23-30
207,Augustana College,1070-1280,22-29
208,Wofford College,1180-1350,27-30
209,New Jersey Institute of Technology,1190-1380,25-30
210,University of Massachusetts—​Amherst,1190-1390,26-32
211,Wabash College,1120-1320,23-29
212,DePauw University,1130-1360,23-30
213,Drury University,1045-1225,22-28
214,St. John Fisher College,1070-1260,21-26
